Depth (m),A (kPa),B (kPa),C (kPa)
19.4,601.1,774.2,420.4
19.45,601.7,766.3,430.8
19.5,601.3,778.5,417.6
19.55,600.9,790.7,404.5
19.6,599.1,803.0,391.4
19.65,596.1,810.6,382.4
19.7,592.9,800.1,392.4
19.75,592.6,789.6,402.4
19.8,592.3,779.1,412.4
19.85,593.3,768.6,423.4
19.9,599.7,783.8,434.6
19.95,609.3,798.9,445.9
20.0,617.6,814.1,457.1
20.05,625.0,827.5,447.1
20.1,632.1,833.9,416.0
20.15,605.1,840.3,377.2
20.2,581.9,846.7,313.0
20.25,559.6,853.1,258.8
20.3,551.9,942.0,228.1
20.35,556.4,1003.5,214.2
20.4,568.0,1058.2,203.9
20.45,577.6,1113.2,193.7
20.5,581.4,1168.1,212.2
20.55,575.7,1024.2,246.1
20.6,562.7,830.1,281.2
20.65,554.0,727.7,313.5
20.7,559.1,757.9,340.2
20.75,576.4,788.2,349.2
20.8,597.1,817.7,358.2
20.85,615.0,846.0,367.2
20.9,634.3,853.9,376.3
20.95,639.5,848.1,385.5
21.0,642.4,842.3,394.7
21.05,641.9,836.5,403.9
21.1,641.4,830.7,411.0
21.15,640.9,824.9,416.8
21.2,638.0,819.1,422.7
21.25,635.1,813.3,428.6
21.3,635.2,820.1,434.4
21.35,645.5,835.2,446.1
21.4,658.6,850.3,462.0
21.45,672.8,865.4,477.9
21.5,682.6,880.5,489.6
21.55,692.3,895.6,487.9
21.6,701.9,910.7,486.2
21.65,707.3,925.8,484.6
21.7,712.2,931.5,482.9
21.75,716.6,930.9,499.2
21.8,720.7,930.3,516.5
21.85,724.8,929.7,531.7
21.9,727.6,929.8,546.5
21.95,729.7,932.8,559.1
22.0,731.9,935.8,571.7
22.05,733.6,938.8,581.4
22.1,735.1,941.8,587.9
22.15,736.7,944.8,594.3
22.2,739.0,947.8,600.7
22.25,742.5,950.8,602.7
22.3,745.8,950.8,604.2
22.35,748.6,950.9,605.7
22.4,749.1,950.9,607.2
22.45,749.7,951.0,608.7
22.5,750.2,951.1,609.4
22.55,751.1,951.1,607.3
22.6,752.2,951.2,605.1
22.65,753.2,951.2,603.0
22.7,754.2,951.2,601.3
22.75,755.3,951.2,600.9
22.8,756.4,951.2,600.5
22.85,757.5,951.2,600.1
22.9,754.0,949.3,599.8
22.95,750.6,947.4,599.4
23.0,747.0,945.5,599.0
23.05,742.7,943.5,598.6
23.1,738.3,941.2,599.9
