GROUP,TEST
HEADING,TEST_ID,SITE_ID,TEST_NAME,TEST_TYPE,TEST_LAT,TEST_LON,TEST_ELEV,TEST_REM
DATA,965,186,CPTU-1,SCPG,37.824806,-122.374042,,"From Pass et al. (1994) - Digitized"

GROUP,SCPG
HEADING,SCPG_ID,TEST_ID,SCPG_CSA,SCPG_RATE,SCPG_CREW,SCPG_METH,SCPG_STAR,SCPG_ENDD,SCPG_PWP,SCGP_REM
DATA,276,965,10,2,Pass,"ASTM D3550-84",,,,

GROUP,SCPT
HEADING,SCPT_ID,SCPG_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP
DATA,81185,276,25.1,1.72199,0.0673285,1.1507
DATA,81186,276,25.2,1.72199,0.0633258,1.07623
DATA,81187,276,25.3,1.72199,0.0633258,1.07623
DATA,81188,276,25.4,1.72199,0.0633258,1.07623
DATA,81189,276,25.5,1.72199,0.0633258,1.09995
DATA,81190,276,25.6,1.72199,0.0633258,1.13382
DATA,81191,276,25.7,1.72199,0.0644154,1.17108
DATA,81192,276,25.8,1.72069,0.068049,1.17108
DATA,81193,276,25.9,1.72069,0.068049,1.12708
DATA,81194,276,26,1.72069,0.068411,1.16772
DATA,81195,276,26.1,1.72069,0.0684096,1.19143
DATA,81196,276,26.2,1.72069,0.0684096,1.16436
DATA,81197,276,26.3,1.72069,0.0684069,1.21177
DATA,81198,276,26.4,1.72069,0.0684069,1.17116
DATA,81199,276,26.5,1.72069,0.0684018,1.15086
DATA,81200,276,26.6,1.67433,0.0684018,1.15086
DATA,81201,276,26.7,1.67433,0.0684018,1.23215
DATA,81202,276,26.8,1.67433,0.0694911,1.23215
DATA,81203,276,26.9,1.67433,0.0694911,1.21188
DATA,81204,276,27,1.67433,0.070217,1.21188
DATA,81205,276,27.1,1.67433,0.0676705,1.21188
DATA,81206,276,27.2,1.67433,0.0618513,1.21188
DATA,81207,276,27.3,1.67433,0.0647587,1.12047
DATA,81208,276,27.4,1.67421,0.0647587,0.79204
DATA,81209,276,27.5,4.38289,0.0629392,0.79204
DATA,81210,276,27.6,1.80935,0.0167558,0.853019
DATA,81211,276,27.7,1.67236,0.0567532,0.853019
