Depth (m),P0 (kPa),P1 (kPa),P2 (kPa)
25.3,794.5583846,950.3527,648.2258333
25.35,797.3306923,948.6785652,650.2675
25.4,800.103,945.1811739,652.3091667
25.45,797.533,941.6837826,654.3508333
25.5,794.963,938.1863913,656.3925
25.55,792.393,934.689,658.4341667
25.6,792.532,943.1163171,660.4568107
25.65,792.671,951.5436341,662.4604322
25.7,792.81,959.9709512,664.4640537
25.75,792.949,968.3982683,666.4676752
25.8,797.95025,976.8255854,668.4712967
25.85,802.9515,985.2529024,670.4749182
25.9,807.14,993.6802195,672.4785397
25.95,810.7866667,1002.107537,674.4821612
26,814.4333333,1003.530391,676.4857827
26.05,816.8276667,1003.20213,677.7737614
26.1,818.3871111,1002.87387,679.0160607
26.15,819.9465556,1002.545609,680.2583601
26.2,821.506,1002.73175,681.5006594
26.25,823.5100625,1004.9755,682.7429588
26.3,825.514125,1007.21925,683.9852581
26.35,827.5181875,1011.082667,685.2275575
26.4,833.7846,1015.351,686.4698568
26.45,841.1166,1020.685167,687.7121562
26.5,848.9819091,1026.019333,688.1375742
26.55,856.9805455,1031.3535,688.2453161
26.6,859.2697143,1032.169,688.3530581
26.65,856.044,1026.2065,688.4608
26.7,845.984,1020.244,688.5685419
26.75,837.5767273,1014.2815,688.6762839
26.8,831.6485455,1001.932636,688.7840258
26.85,826.59075,987.9871818,688.8917677
26.9,825.0145,967.163,688.9995097
26.95,823.43825,941.753,677.9419836
27,821.862,980.7605,639.2199744
27.05,790.428,1124.8428,536.0322581
27.1,776.579,1296.421,445.4735484
27.15,754.1153333,1459.098,354.9148387
27.2,719.042,1643.874,282.5417391
27.25,735.9841429,1509.598286,373.8391304
27.3,756.95175,1344.24675,465.1365217
27.35,783.214,1211.012429,552.4021538
27.4,817.642,1089.2774,655.1779524
27.45,820.8530938,1017.284842,669.5106212
27.5,824.0641875,1023.751947,682.4735
27.55,827.2752813,1030.219053,692.7895282
27.6,830.486375,1036.686158,697.9675524
27.65,833.6974688,1037.943526,703.1455766
27.7,836.9085625,1035.727737,708.3236008
27.75,840.4097692,1033.511947,713.501625
27.8,844.1043846,1031.296158,716.9537456
27.85,847.799,1031.953571,717.5899181
27.9,850.264,1033.329286,718.2260907
27.95,852.729,1034.705,718.8622633
28,854.21,1035.301154,719.4984358
28.05,854.215,1035.897308,720.1346084
28.1,854.22,1037.9835,720.770781
28.15,851.894375,1042.30475,721.4069535
28.2,851.605,1046.626,722.0431261
28.25,854.37,1046.214478,723.2075479
28.3,857.135,1045.802957,725.3973946
28.35,860.5193846,1045.391435,727.5872414
28.4,864.3166923,1044.979913,729.7770881
28.45,868.114,1047.082412,731.9669349
28.5,870.8736667,1052.955941,733.5657538
28.55,873.6333333,1058.829471,730.8303692
28.6,876.393,1064.703,728.0949846
28.65,871.6016667,1052.71975,725.3596
28.7,866.8103333,1040.7365,722.6242154
28.75,862.019,1028.75325,719.8888308
28.8,855.497,1016.77,703.0762278
28.85,848.975,1242.067222,615.3231739
28.9,848.8975,1487.9886,515.2557143
28.95,848.82,1814.267625,417.526
29,848.7425,2131.99075,271.247
